0,G000012725,1,46,381,scaffold
0,G000012725,10,13,381,scaffold
0,G000012725,11,30,381,scaffold
0,G000012725,12,23,381,scaffold
0,G000012725,13,20,381,scaffold
0,G000012725,15,6,381,scaffold
7,G000012725,16,9,381,scaffold
0,G000012725,17,13,381,scaffold
18,G000012725,18,5,381,scaffold
0,G000012725,19,10,381,scaffold
0,G000012725,2,36,381,scaffold
0,G000012725,20,13,381,scaffold
4,G000012725,22,7,381,scaffold
27,G000012725,23,3,381,scaffold
27,G000012725,24,3,381,scaffold
6,G000012725,25,2,381,scaffold
42,G000012725,26,2,381,scaffold
0,G000012725,27,9,381,scaffold
0,G000012725,29,4,381,scaffold
0,G000012725,3,45,381,scaffold
22,G000012725,30,3,381,scaffold
0,G000012725,31,4,381,scaffold
0,G000012725,32,5,381,scaffold
27,G000012725,35,2,381,scaffold
21,G000012725,36,2,381,scaffold
0,G000012725,39,3,381,scaffold
0,G000012725,4,24,381,scaffold
2,G000012725,45,2,381,scaffold
2,G000012725,5,29,381,scaffold
0,G000012725,6,21,381,scaffold
0,G000012725,7,15,381,scaffold
0,G000012725,8,34,381,scaffold
0,G000012725,9,32,381,scaffold
3,G000016285,1,51,381,scaffold
0,G000016285,10,48,381,scaffold
0,G000016285,11,19,381,scaffold
0,G000016285,12,25,381,scaffold
33,G000016285,13,14,381,scaffold
4,G000016285,14,6,381,scaffold
49,G000016285,15,13,381,scaffold
74,G000016285,16,7,381,scaffold
6,G000016285,17,10,381,scaffold
49,G000016285,18,6,381,scaffold
35,G000016285,19,3,381,scaffold
0,G000016285,2,62,381,scaffold
25,G000016285,20,3,381,scaffold
52,G000016285,23,3,381,scaffold
55,G000016285,26,4,381,scaffold
0,G000016285,3,89,381,scaffold
6,G000016285,4,37,381,scaffold
0,G000016285,5,71,381,scaffold
0,G000016285,6,61,381,scaffold
0,G000016285,7,72,381,scaffold
0,G000016285,8,33,381,scaffold
4,G000016285,9,32,381,scaffold
1,G000016525,1,41,381,scaffold
1,G000016525,10,19,381,scaffold
1,G000016525,11,10,381,scaffold
0,G000016525,12,3,381,scaffold
1,G000016525,13,9,381,scaffold
1,G000016525,14,5,381,scaffold
2,G000016525,15,4,381,scaffold
1,G000016525,2,30,381,scaffold
1,G000016525,3,22,381,scaffold
1,G000016525,4,15,381,scaffold
0,G000016525,5,10,381,scaffold
1,G000016525,6,9,381,scaffold
1,G000016525,7,15,381,scaffold
1,G000016525,8,11,381,scaffold
1,G000016525,9,13,381,scaffold
28,G000024365,1,2,381,scaffold
0,G000026405,1,122,381,scaffold
11,G000026405,11,3,381,scaffold
7,G000026405,12,2,381,scaffold
4,G000026405,14,2,381,scaffold
7,G000026405,15,2,381,scaffold
3,G000026405,2,89,381,scaffold
1,G000026405,3,37,381,scaffold
2,G000026405,4,36,381,scaffold
4,G000026405,5,28,381,scaffold
1,G000026405,6,19,381,scaffold
0,G000026405,7,5,381,scaffold
1,G000026405,8,8,381,scaffold
3,G000092045,1,81,381,scaffold
1,G000092045,10,24,381,scaffold
2,G000092045,11,38,381,scaffold
29,G000092045,12,26,381,scaffold
6,G000092045,13,20,381,scaffold
53,G000092045,14,19,381,scaffold
3,G000092045,15,30,381,scaffold
6,G000092045,16,20,381,scaffold
34,G000092045,17,12,381,scaffold
36,G000092045,18,7,381,scaffold
49,G000092045,19,5,381,scaffold
2,G000092045,2,42,381,scaffold
51,G000092045,20,4,381,scaffold
3,G000092045,21,10,381,scaffold
4,G000092045,22,11,381,scaffold
2,G000092045,24,10,381,scaffold
21,G000092045,25,2,381,scaffold
60,G000092045,26,11,381,scaffold
42,G000092045,27,4,381,scaffold
46,G000092045,28,3,381,scaffold
1,G000092045,3,79,381,scaffold
61,G000092045,33,1,381,scaffold
55,G000092045,4,38,381,scaffold
0,G000092045,5,54,381,scaffold
0,G000092045,6,39,381,scaffold
3,G000092045,7,47,381,scaffold
