258.61,164372,best,10,33232
258.61,164372,best,10,33232
258.61,164372,best,10,33232
258.61,164372,best,10,33232
258.61,164372,best,10,0
683.98,308956,best,25,85284
683.98,308956,best,25,0
683.98,308956,best,25,0
683.98,308956,best,25,0
683.98,308956,best,25,0
1496.86,592604,best,50,172818
1496.86,592604,best,50,0
1496.86,592604,best,50,0
1496.86,592604,best,50,0
1496.86,592604,best,50,0
417.84,184324,random,10,35600
417.84,184324,random,10,35600
417.84,184324,random,10,35600
417.84,184324,random,10,35600
417.84,184324,random,10,35600
895.08,336144,random,25,86418
895.08,336144,random,25,86418
895.08,336144,random,25,86418
895.08,336144,random,25,86418
895.08,336144,random,25,86418
2173.77,635880,random,50,174914
2173.77,635880,random,50,174914
2173.77,635880,random,50,174914
2173.77,635880,random,50,174914
2173.77,635880,random,50,174914
Command exited with non-zero status 1,random,381,0
0.24,50840,random,381,0
Command exited with non-zero status 1,random,381,0
0.24,50840,random,381,0
Command exited with non-zero status 1,random,381,0
0.24,50840,random,381,0
Command exited with non-zero status 1,random,381,0
0.24,50840,random,381,0
Command exited with non-zero status 1,random,381,0
0.24,50840,random,381,0
